Nombre,Costo (USD),Cantidad,Ganancia (%),IVA (%)
"BOLSA AZUL",0.07,9,30,0
"BRILLO DE ALAMBRE 3 UNIDAD",0.8,7,0,0
"BRILLO DE ALAMBRE",0.5,5,0,0
"GALLETA COOKIE",0.9,9,0,0
"SARDINA OMEGA",0.89,10,0,0
"MARGARINA MAVESA",1.6,5,0,0
"MARGARINA PAMPA 450",1.6,4,0,0
"MARGARINA PAMPA 250",0.98,6,0,0
"AREQUIPE",3.5,10,0,0
"TALLAS SANITARIAS DIA",0.8,4,0,0
"HARINA DE TRIGO PAMPA",1.24,2,0,0
"SAL",0.56,19,0,0
"CREMA ALIDENT",1.1,4,0,0
"TALLAS BAMBO",0.6,10,0,0
"TALLAS SIGLO",0.9,6,0,0
"PAPELÓN CONO",1.4,6,0,0
"HARINA PAN TRIGO",1.1,2,0,0
"HARINA MARY",1.31,9,0,0
"AZÚCAR DULCE DIA",1.63,8,0,0
"AZÚCAR KONFIT",1.71,11,0,0
"AVENA PANTERA",0.9,6,0,0
"MARGARINA MIRASOL",1.5,6,0,0
"LECHE LAM",1.3,7,0,0
"LECHE LAM 190",1.8,1,0,0
"LECHE DO BOM 200",2.4,1,0,0
"LECHE VILLA",1.2,1,0,0
"AZÚCAR 500",1,10,0,0
"SARDINA TOMATE",0.8,2,0,0
"ATÚN CALIFORNIA",0.9,2,0,0
"ATÚN GLENDY",1.4,2,0,0
"SARDINA DE TOMATE",0.8,1,0,0
"MANTEQUILLA NELLY P",1.4,2,0,0
"ACEITE 500",1.8,4,0,0
"ARROZ",1.2,1,0,0
"PASTA CAPRI 500",1.18,1,0,0
"HARINA DE TRIGO MARA",1.42,4,0,0
"ESPAGUETI MARY",2,5,0,0
"JABÓN OSO BLANCO 500",1.2,2,0,0
"JABÓN ALIVE 500",1.4,8,0,0
"JABÓN ALIVE Y 200",0.9,6,0,0
"PAN DE QUESO",1.2,6,0,0
"PAN DULCE",0.4,10,0,0
"PAN COLOMBIANO",1.6,10,0,0
"REFRESCO 400",0.6,6,0,0
"REFRESCO SUN 1L",0.74,24,0,0
"REFRESCO COCA-COLA 1L",1.01,6,0,0
"REFRESCO COCA-COLA 2L",1.68,4,0,0
"MALTA",0.8,9,0,0
"TUALLA SIGLO",1,3,0,0
"JABÓN PALMOLIVE",0.9,6,0,0
"JABÓN HARMONY",0.6,6,0,0
"JABÓN AVENA",0.6,6,0,0
"PEGA LOCA",0.37,1,0,0
"NUTRIBELLA",0.72,2,0,0
"SHAMPOO",0.62,12,0,0
"CREMA COLGATE",1.3,2,0,0
"JABÓN DE BAÑO OSO BLANCO",0.8,2,0,0
"SHAMPOO PANTENE",0.6,4,0,0
"SALSA PEQUEÑA",1.2,2,0,0
"BEBIDA ACHOCOLATADA",0.87,2,0,0
"SALSA AJO",1.46,3,0,0
"SALSA SOYA",1.44,2,0,0
"HARINA KALY",1.43,20,0,0
"VINAGRE GIRALDA",1.2,2,0,0
"BISRROL",0.43,3,0,0
"PUFFY",0.32,9,0,0
"TOM",0.37,10,0,0
"GALLETA MARIA",0.4,20,0,0
"CATALINA",0.27,11,0,0
"MEGA BIT",0.57,5,0,0
"RÁPIDO",0.32,12,0,0
"DORITO",1.23,7,0,0
"JUGO CELEMA",0.55,11,0,0
"CAFÉ AMANECER 100",1.41,18,0,0
"CASABE",0.83,10,0,0
"JUSTY DE NARANJA",1.45,6,0,0
"SIN 1L",1.01,1,0,0
"FRESCOLITA 1L",1.01,1,0,0
"CHINOTO 1L",1.01,2,0,0
"SIN LIMÓN 1L",0.75,12,0,0
"SIN KOLITA",0.75,12,0,0
"SARDINA MORRO",0.85,9,0,0
"LAILA",0.27,1,0,0
"CUBITO",0.27,7,0,0
"DICLOFENACO",0.11,100,0,0
"IBUPROFENO",0.21,8,0,0
"ACETAMONOFEN",0.16,100,0,0
"ATÚN DIPLOMÁTICO",1.33,2,0,0
"PANELADA",0.57,1,0,0
"LECHE CONDENSADA",1.7,3,0,0
"ACEITE PEQUEÑO",1.24,8,0,0
"AÚN 2L",1.12,8,0,0
